Country_Name,ISO3,region,subregion,Ladder Score,Log GDP per capita,Social Support,Healthy Life Expectancy,Personal Freedom,Generosity,Perceptions of Corruption,Dystopia,Tech,Health,Education,Violence,Inequality,Tech_Level,Health_Level,Education_Level,Violence_Level,Inequality_Level
Mexico,MEX,Americas,North America,6.678,1.521,1.241,0.544,0.722,0.086,0.127,2.437,80.7,57.0,8.824254,149190.0,0.74880934,2,4,3,5,5
Moldova,MDA,Europe,Eastern Europe,5.816,1.385,1.277,0.542,0.695,0.077,0.044,1.795,78.3,41.0,8.288821,732.0,0.46374163,2,2,2,1,2
Mongolia,MNG,Asia,East Asia,5.696,1.353,1.511,0.4,0.501,0.237,0.055,1.64,87.0,41.0,9.153257,912.0,0.56478983,3,2,3,2,3
Montenegro,MNE,Europe,Southern Europe,5.707,1.571,1.318,0.587,0.632,0.11,0.132,1.357,87.9,44.1,8.9080925,169.0,0.4627806,3,3,3,1,2
Morocco,MAR,Africa,North Africa,4.795,1.213,0.471,0.495,0.631,0.042,0.082,1.861,86.8,33.6,6.3176813,64608.0,0.59599656,3,1,1,5,4
Mozambique,MOZ,Africa,Southern Africa,5.216,0.56,0.883,0.156,0.728,0.158,0.196,2.536,32.0,30.4,4.471788,1139.0,0.72475654,1,1,1,2,5
Myanmar,MMR,Asia,Southeast Asia,4.354,0.978,0.988,0.436,0.45,0.401,0.174,0.928,63.8,38.3,6.787967,879.0,0.61851215,1,2,2,1,4
Namibia,NAM,Africa,Southern Africa,4.832,1.266,1.212,0.307,0.47,0.069,0.061,1.446,68.8,30.3,6.106065,10769.0,0.73661697,1,1,1,3,5
Netherlands,NLD,Europe,Western Europe,7.319,1.901,1.462,0.706,0.725,0.247,0.372,1.906,92.5,64.7,11.539022,11195.0,0.44641772,4,5,5,3,1
New Zealand,NZL,Oceania,Oceania,7.029,1.81,1.527,0.673,0.746,0.226,0.48,1.567,90.3,62.5,11.390235,55822.0,0.47081438,4,5,5,5,2
Nicaragua,NIC,Americas,Central America,6.284,1.097,1.263,0.542,0.793,0.133,0.251,2.203,61.6,36.3,6.747723,3084.0,0.6512723,1,2,2,2,5
Nigeria,NGA,Africa,West Africa,4.881,1.042,1.075,0.256,0.566,0.201,0.019,1.722,46.9,38.0,5.0383425,18849.0,0.5451492,1,2,1,4,3
North Macedonia,MKD,Europe,Southern Europe,5.369,1.475,1.277,0.569,0.58,0.194,0.015,1.26,82.0,42.2,7.296405,233.0,0.44076675,2,3,2,1,1
Norway,NOR,Europe,Northern Europe,7.302,1.952,1.517,0.704,0.835,0.224,0.484,1.586,93.4,60.2,11.233873,7111.0,0.3326726,5,5,5,3,1
Pakistan,PAK,Asia,South Asia,4.657,1.069,0.6,0.321,0.542,0.144,0.074,1.907,55.6,30.4,5.079235,60363.0,0.5453535,1,1,1,5,3
Panama,PAN,Americas,Central America,6.358,1.702,1.392,0.633,0.72,0.063,0.043,1.806,77.6,53.5,6.4808674,12429.0,0.65127224,2,4,2,4,5
Paraguay,PRY,Americas,South America,5.977,1.398,1.408,0.549,0.788,0.131,0.065,1.637,74.1,40.3,6.976486,7079.0,0.65127224,2,2,2,3,5
Peru,PER,Americas,South America,5.841,1.371,1.18,0.662,0.615,0.078,0.029,1.907,76.4,54.9,8.632247,27801.0,0.68563735,2,4,3,4,5
Philippines,PHL,Asia,Southeast Asia,6.048,1.232,1.146,0.441,0.826,0.099,0.136,2.167,74.4,45.7,7.492334,3149.0,0.60398626,2,3,2,2,4
Poland,POL,Europe,Eastern Europe,6.442,1.738,1.417,0.639,0.6,0.081,0.175,1.791,95.8,55.7,11.374183,8750.0,0.4662378,5,4,5,3,2
Portugal,PRT,Europe,Southern Europe,6.03,1.728,1.368,0.699,0.757,0.047,0.035,1.397,87.4,54.7,11.310053,4015.0,0.47284582,3,4,5,3,2
Romania,ROU,Europe,Eastern Europe,6.491,1.699,1.236,0.583,0.717,0.041,0.006,2.21,87.6,45.7,8.369189,3327.0,0.4975346,3,3,3,2,2
Russia,RUS,Europe,Eastern Europe,5.785,1.642,1.351,0.531,0.551,0.138,0.121,1.451,90.6,49.1,10.898087,38069.0,0.5819966,4,3,4,4,3
Saudi Arabia,SAU,Asia,Middle East,6.594,1.842,1.361,0.511,0.787,0.114,0.188,1.79,95.7,44.9,7.8881774,19610.0,0.6504837,5,3,2,4,5
Senegal,SEN,Africa,West Africa,4.969,0.927,0.751,0.392,0.607,0.152,0.069,2.071,69.3,32.8,4.838319,435.0,0.58417815,1,1,1,1,3
Serbia,SRB,Europe,Southern Europe,6.411,1.538,1.391,0.585,0.663,0.2,0.101,1.932,87.7,45.0,9.752607,5796.0,0.47859696,3,3,4,3,2
